GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
proj-rec,edu.ucsb.cs156.rec.controllers,UserInfoController,0,6,0,0,0,2,0,2,0,2
proj-rec,edu.ucsb.cs156.rec.controllers,UsersController,0,216,0,10,0,35,0,16,0,11
proj-rec,edu.ucsb.cs156.rec.controllers,ApiController,0,33,0,0,0,10,0,6,0,6
proj-rec,edu.ucsb.cs156.rec.controllers,RecommendationRequestController,0,329,0,8,0,72,0,25,0,21
proj-rec,edu.ucsb.cs156.rec.controllers,SystemInfoController,0,7,0,0,0,2,0,2,0,2
proj-rec,edu.ucsb.cs156.rec.controllers,CSRFController,0,5,0,0,0,2,0,2,0,2
proj-rec,edu.ucsb.cs156.rec.controllers,RequestTypeController,0,175,0,12,0,38,0,16,0,10
proj-rec,edu.ucsb.cs156.rec.services,CurrentUserService,0,10,0,2,0,2,0,3,0,2
proj-rec,edu.ucsb.cs156.rec.services,SystemInfoServiceImpl,0,52,0,4,0,14,0,6,0,4
proj-rec,edu.ucsb.cs156.rec.services,SystemInfoService,0,3,0,0,0,1,0,1,0,1
proj-rec,edu.ucsb.cs156.rec.errors,EntityNotFoundException,0,17,0,0,0,2,0,1,0,1
proj-rec,edu.ucsb.cs156.rec.interceptors,RoleInterceptorConfig,0,9,0,0,0,3,0,2,0,2
proj-rec,edu.ucsb.cs156.rec.interceptors,RoleInterceptor,0,96,0,12,0,24,0,10,0,4
