GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
proj-rec,edu.ucsb.cs156.rec.controllers,UserInfoController,0,6,0,0,0,2,0,2,0,2
proj-rec,edu.ucsb.cs156.rec.controllers,UsersController,0,16,0,0,0,4,0,2,0,2
proj-rec,edu.ucsb.cs156.rec.controllers,ApiController,0,33,0,0,0,10,0,6,0,6
proj-rec,edu.ucsb.cs156.rec.controllers,RecommendationRequestController,0,156,0,4,0,36,0,11,0,9
proj-rec,edu.ucsb.cs156.rec.controllers,SystemInfoController,0,7,0,0,0,2,0,2,0,2
proj-rec,edu.ucsb.cs156.rec.controllers,CSRFController,0,5,0,0,0,2,0,2,0,2
proj-rec,edu.ucsb.cs156.rec.controllers,RequestTypesController,0,42,0,0,0,10,0,6,0,6
proj-rec,edu.ucsb.cs156.rec.services,CurrentUserService,0,10,0,2,0,2,0,3,0,2
proj-rec,edu.ucsb.cs156.rec.services,RequestTypeService,0,66,0,4,0,15,0,7,0,5
proj-rec,edu.ucsb.cs156.rec.services,SystemInfoServiceImpl,0,27,0,0,0,9,0,3,0,3
proj-rec,edu.ucsb.cs156.rec.services,SystemInfoService,0,3,0,0,0,1,0,1,0,1
proj-rec,edu.ucsb.cs156.rec.errors,EntityAlreadyExistsException,0,17,0,0,0,3,0,1,0,1
proj-rec,edu.ucsb.cs156.rec.errors,EntityNotFoundException,0,17,0,0,0,3,0,1,0,1
